"Name","State","District","Party","Room","Phone","House Positions","Committee Assignment"
"Byrne, Bradley","Alabama","1","R","119 CHOB","202-225-4931","","Rules"
"Roby, Martha","Alabama","2","R","442 CHOB","202-225-2901","",""
"Rogers, Mike","Alabama","3","R","2184 RHOB","202-225-3261","",""
"Aderholt, Robert","Alabama","4","R","235 CHOB","202-225-4876","",""
"Brooks, Mo","Alabama","5","R","2400 RHOB","202-225-4801","",""
"Palmer, Gary","Alabama","6","R","330 CHOB","202-225-4921","",""
"Sewell, Terri A.","Alabama","7","D","2201 RHOB","202-225-2665","",""
"Young, Don","Alaska","10","R","2314 RHOB","202-225-5765","",""
"Radewagen, Amata","American Samoa","10","R","1339 LHOB","202-225-8577","",""
"O'Halleran, Tom","Arizona","1","D","126 CHOB","202-225-3361","",""
"McSally, Martha","Arizona","2","R","510 CHOB","202-225-2542","",""
"Grijalva, Raul","Arizona","3","D","1511 LHOB","202-225-2435","","Natural Resources"
"Gosar, Paul A.","Arizona","4","R","2057 RHOB","202-225-2315","",""
"Biggs, Andy","Arizona","5","R","1626 LHOB","202-225-2635","",""
"Schweikert, David","Arizona","6","R","2059 RHOB","202-225-2190","",""
"Gallego, Ruben","Arizona","7","D","1218 LHOB","202-225-4065","",""
"Franks, Trent","Arizona","8","R","2435 RHOB","202-225-4576","",""
"Sinema, Kyrsten","Arizona","9","D","1725 LHOB","202-225-9888","",""
"Crawford, Rick","Arkansas","1","R","2422 RHOB","202-225-4076","",""
"Hill, French","Arkansas","2","R","1229 LHOB","202-225-2506","",""
"Womack, Steve","Arkansas","3","R","2412 RHOB","202-225-4301","",""
"Westerman, Bruce","Arkansas","4","R","130 CHOB","202-225-3772","",""
"LaMalfa, Doug","California","1","R","322 CHOB","202-225-3076","",""
"Huffman, Jared","California","2","D","1406 LHOB","202-225-5161","",""
"Garamendi, John","California","3","D","2438 RHOB","202-225-1880","",""
"McClintock, Tom","California","4","R","2312 RHOB","202-225-2511","",""
"Thompson, Mike","California","5","D","231 CHOB","202-225-3311","",""
"Matsui, Doris O.","California","6","D","2311 RHOB","202-225-7163","",""
"Bera, Ami","California","7","D","1431 LHOB","202-225-5716","",""
"Cook, Paul","California","8","R","1222 LHOB","202-225-5861","",""
