FID,FLU,FLUDESC,FLUSHRTDEC,SHAPE_STAr,SHAPE_STLe,Shape__Area,Shape__Length
1,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",46677.960907,921.580802169,5370.408203125,312.860617444779
2,1,Single Family - Residential,Single Fam. Res,5293504.85944,14971.4481944,609066.7890625,5076.96032348801
3,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",1359113.36591,6654.52925466,156519.490234375,2257.96875610828
4,4,Medium Density Multifamily Residential,Med D. MF Res.,1429558.81174,7665.76635143,164623.931640625,2599.96047493644
5,4,Medium Density Multifamily Residential,Med D. MF Res.,417892.266327,2666.83732496,48123.705078125,904.380029246524
6,14,Public Parks and Recreation,Recreation,583101.210144,3279.9406634,67147.029296875,1114.1248885923
7,1,Single Family - Residential,Single Fam. Res,2120889.73972,6271.9869417,244232.65625,2127.01530024095
8,4,Medium Density Multifamily Residential,Med D. MF Res.,51448.973938,977.608955143,5925.859375,332.198844569334
9,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",424395.205017,2732.8291248,48879.79296875,927.390424061234
10,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",72364.2509766,1160.24816069,8332.705078125,393.873695490567
11,14,Public Parks and Recreation,Recreation,54917.7965698,1120.59508984,6323.845703125,379.701640209908
12,9,General Commercial,General Com.,404621.813324,3357.14395242,46587.294921875,1137.29369468793
13,14,Public Parks and Recreation,Recreation,79499.1400757,1343.53053981,9153.17578125,455.877633596207
14,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",1808433.59454,7964.7576739,208209.6640625,2701.19783667343
15,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",177594.754242,1864.26087637,20446.515625,631.82848250589
16,14,Public Parks and Recreation,Recreation,36406.2179871,808.920599147,4191.40234375,274.720065093816
17,14,Public Parks and Recreation,Recreation,57862.4378052,964.236178519,6661.537109375,327.228016881757
18,1,Single Family - Residential,Single Fam. Res,591415.966125,3100.18129951,68080.677734375,1051.49891228502
19,14,Public Parks and Recreation,Recreation,295142.49707,2493.63556655,33974.783203125,846.284053613573
20,8,Restricted Commercial,Restricted Com.,52144.4763794,922.342750705,6002.50390625,313.053436681367
21,14,Public Parks and Recreation,Recreation,45471.0765381,862.745467944,5234.189453125,292.763767046323
22,9,General Commercial,General Com.,22822.6340332,658.661768269,2627.115234375,223.689744344426
23,8,Restricted Commercial,Restricted Com.,101493.145233,1417.31826734,11682.9921875,481.4411569549
24,8,Restricted Commercial,Restricted Com.,208194.861938,3006.53772288,23965.384765625,1017.8457252285
25,14,Public Parks and Recreation,Recreation,261326.433197,2138.68323428,30080.310546875,725.167492307906
26,8,Restricted Commercial,Restricted Com.,277053.507019,4005.20831045,31891.025390625,1357.61769734594
27,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",479318.963806,2957.8608424,55171.443359375,1003.28039061593
28,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",238330.327484,2052.47698842,27432.185546875,695.756663183073
29,9,General Commercial,General Com.,1377430.15137,7123.45663476,158504.3359375,2420.26282444268
30,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",175390.222656,1832.20376385,20187.259765625,620.916118328217
31,9,General Commercial,General Com.,447891.271729,3335.88760333,51551.15625,1129.89880397107
32,14,Public Parks and Recreation,Recreation,105572.678467,1300.33138492,12151.318359375,441.184621235997
33,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",732757.55365,4011.77972514,84335.51171875,1359.76762662454
34,8,Restricted Commercial,Restricted Com.,159934.981537,2142.41129151,18407.0390625,727.931354085092
35,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",452195.786804,3349.58733905,52042.14453125,1134.49259283072
36,14,Public Parks and Recreation,Recreation,91529.4353333,1280.82849854,10533.13671875,434.739018437852
37,9,General Commercial,General Com.,217463.881042,2620.3072504,25025.580078125,888.293846056547
38,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",120201.276001,1452.26202592,13832.400390625,493.05052164042
39,1,Single Family - Residential,Single Fam. Res,9356792.01492,13970.0380596,1076708.62109375,4737.33894447183
40,14,Public Parks and Recreation,Recreation,20149.8097229,664.751761117,2318.81640625,225.203977858759
41,4,Medium Density Multifamily Residential,Med D. MF Res.,561331.994507,3883.02330148,64595.845703125,1318.10811176047
42,13,Industrial,Industrial,180362.031372,2034.422027,20755.126953125,689.517856221412
43,1,Single Family - Residential,Single Fam. Res,1184208.0434,4362.752422,136266.5859375,1478.08635509421
44,4,Medium Density Multifamily Residential,Med D. MF Res.,131098.400604,1548.45718557,15085.53125,525.20678229307
45,4,Medium Density Multifamily Residential,Med D. MF Res.,378100.068787,2793.2666241,43507.525390625,946.204993581355
46,1,Single Family - Residential,Single Fam. Res,814096.761536,3615.57258139,93678.845703125,1226.59909762046
47,14,Public Parks and Recreation,Recreation,43366.2911072,905.006160152,4990.224609375,306.984633389972
48,1,Single Family - Residential,Single Fam. Res,1114272.75787,4289.99154155,128212.572265625,1454.35588479898
49,14,Public Parks and Recreation,Recreation,545823.041901,4142.87242945,62802.8671875,1403.42163990314
50,2,Duplex - Residential,Duplex Res.,7405.86398315,354.804969572,852.11328125,120.281146461451
51,8,Restricted Commercial,Restricted Com.,221237.613434,2387.48725421,25455.453125,809.627785420717
52,14,Public Parks and Recreation,Recreation,1322636.52393,6074.99536813,152272.990234375,2060.62147873268
53,14,Public Parks and Recreation,Recreation,1163544.17432,6569.1585184,134017.958984375,2227.29900844538
54,14,Public Parks and Recreation,Recreation,199103.097961,1961.78109453,22926.9140625,665.094209495705
55,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",101838.817871,1643.81949665,11726.833984375,556.854926503724
56,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",358542.816803,2816.38718975,41283.775390625,954.547493291154
57,14,Public Parks and Recreation,Recreation,82725.3117981,1576.13031725,9524.70703125,533.822358487677
58,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",1081043.77124,4604.96087013,124389.376953125,1562.11263087772
59,8,Restricted Commercial,Restricted Com.,4265497.46375,14807.4791877,490775.326171875,5022.6906596311
60,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",90350.3542175,1449.07678297,10393.677734375,490.917439123404
61,10,Central Business District,CBD,3771.80221558,256.011860314,433.890625,86.8898023275445
62,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",598810.94458,3208.40029332,68882.4375,1088.9423744799
63,14,Public Parks and Recreation,Recreation,52301.0514221,1009.56896031,6016.345703125,342.823176129149
64,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",102983.204224,1285.18136946,11846.52734375,435.964052179041
65,13,Industrial,Industrial,81504.846283,1301.47511133,9375.591796875,441.601220460186
66,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",53473.8335571,1034.1866159,6151.166015625,350.468909707376
67,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",441244.83316,3322.06049159,50755.513671875,1124.8233465083
68,9,General Commercial,General Com.,103833.151611,1511.4547118,11943.525390625,511.896334953323
69,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",84943.8155212,1163.31703931,9770.83984375,394.564272136055
70,2,Duplex - Residential,Duplex Res.,292594.657715,2314.52212411,33654.45703125,785.723903479605
71,2,Duplex - Residential,Duplex Res.,3127130.70584,12398.0250724,359652.392578125,4206.1065447804
72,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",216310.287994,1983.58352405,24879.86328125,673.359516732359
73,14,Public Parks and Recreation,Recreation,111037.860077,1484.70011331,12771.38671875,503.426260201585
74,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",43380.6271362,846.16655746,4989.576171875,287.110300300811
75,14,Public Parks and Recreation,Recreation,61596.2887268,1237.93567276,7084.75,419.478030471596
76,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",46123.4773254,860.288050742,5305.146484375,291.733806319963
77,8,Restricted Commercial,Restricted Com.,240475.087952,2416.78307131,27657.994140625,820.174530338235
78,2,Duplex - Residential,Duplex Res.,267684.011658,2527.3187094,30788.30859375,855.777877487154
79,8,Restricted Commercial,Restricted Com.,8343.28335571,431.117423695,959.619140625,146.422803893685
80,14,Public Parks and Recreation,Recreation,125748.719788,1448.17408324,14463.078125,490.874129385845
81,1,Single Family - Residential,Single Fam. Res,2409570.90762,6794.88051958,277132.716796875,2302.51987698574
82,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",398514.477966,3223.4163961,45834.7578125,1092.27547796172
83,1,Single Family - Residential,Single Fam. Res,424283.773529,3107.65560021,48799.458984375,1052.40975108366
84,15,Conservation,Conservation,418276.741699,2956.76604305,48106.0546875,1002.37431250917
85,14,Public Parks and Recreation,Recreation,186399.7771,1747.44499457,21438.12109375,592.88496761256
86,8,Restricted Commercial,Restricted Com.,28970.3786621,719.387510241,3331.890625,243.757093606383
87,15,Conservation,Conservation,93684.0940857,1319.20051796,10774.119140625,447.440835457559
88,14,Public Parks and Recreation,Recreation,459337.113617,2711.0762585,52826.158203125,919.409513438102
89,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",405292.305267,2571.63505049,46609.390625,871.784147898065
90,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",367118.809631,2434.08951118,42219.375,825.241759464672
91,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",46910.7315674,867.201040261,5394.689453125,294.076363948971
92,1,Single Family - Residential,Single Fam. Res,2054518.22678,10540.2629555,236248.6640625,3572.29466343071
93,15,Conservation,Conservation,715301.570221,5177.97609622,82253.3828125,1754.94812695258
94,15,Conservation,Conservation,1634.78131104,166.678558622,187.974609375,56.5171507792597
95,15,Conservation,Conservation,771.293121338,103.515442238,88.6875,35.0999447175144
96,15,Conservation,Conservation,1584.55514526,151.192322602,182.203125,51.2470336392057
97,15,Conservation,Conservation,8659.77722168,355.944076246,995.7578125,120.738090639205
98,15,Conservation,Conservation,250269.274994,2239.00825943,28776.927734375,759.317342782363
99,15,Conservation,Conservation,24769.8999634,1252.96736021,2848.146484375,425.432747323273
100,15,Conservation,Conservation,335.25982666,74.4836373376,38.552734375,25.2669695031003
101,15,Conservation,Conservation,110.314849854,38.6946708776,12.685546875,13.1251248217987
102,4,Medium Density Multifamily Residential,Med D. MF Res.,60755.1243591,1032.24110738,6986.05078125,350.312988276576
103,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",177825.150024,1866.12408748,20446.8359375,632.05423880129
104,4,Medium Density Multifamily Residential,Med D. MF Res.,995772.055176,10224.1289355,114497.234375,3460.47828063091
105,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",299057.409515,2498.00033485,34384.724609375,846.315481090493
106,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",215290.443451,1953.65404076,24753.3359375,663.017589054124
